"name","type","brand","model","specs"
"AMD Athlon II X2 240","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 240e","CPU","AMD","Athlon II","Cores: 2, TDP: 45W"
"AMD Athlon II X2 245","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 245e","CPU","AMD","Athlon II","Cores: 2, TDP: 45W"
"AMD Athlon II X2 250","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 250e","CPU","AMD","Athlon II","Cores: 2, TDP: 45W"
"AMD Athlon II X2 250u","CPU","AMD","Athlon II","Cores: 2, TDP: 25W"
"AMD Athlon II X2 255","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 260","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 260u","CPU","AMD","Athlon II","Cores: 2, TDP: 25W"
"AMD Athlon II X2 265","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 270","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 270u","CPU","AMD","Athlon II","Cores: 2, TDP: 25W"
"AMD Athlon II X2 280","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 4300e","CPU","AMD","Athlon II","Cores: 2, TDP: 13W"
"AMD Athlon II X2 4400e","CPU","AMD","Athlon II","Cores: 2, TDP: 37W"
"AMD Athlon II X2 4450e","CPU","AMD","Athlon II","Cores: 2, TDP: 45W"
"AMD Athlon II X2 B22","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 B24","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 B26","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 B28","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
