"name","type","brand","model","specs"
"GeForce 920MX","GPU","GEFORCE","GeForce 920MX","Memory: Unknown"
"GeForce 9300","GPU","GEFORCE","GeForce 9300","Memory: Unknown"
"GeForce 9300 / nForce 730i","GPU","GEFORCE","GeForce 9300 / nForce 730i","Memory: Unknown"
"GeForce 9300 GE","GPU","GEFORCE","GeForce 9300 GE","Memory: Unknown"
"GeForce 9300 GS","GPU","GEFORCE","GeForce 9300 GS","Memory: Unknown"
"GeForce 9300 SE","GPU","GEFORCE","GeForce 9300 SE","Memory: Unknown"
"GeForce 9300GE","GPU","GEFORCE","GeForce 9300GE","Memory: Unknown"
"GeForce 9300M G","GPU","GEFORCE","GeForce 9300M G","Memory: Unknown"
"GeForce 9300M GS","GPU","GEFORCE","GeForce 9300M GS","Memory: Unknown"
"GeForce 930A","GPU","GEFORCE","GeForce 930A","Memory: Unknown"
"GeForce 930M","GPU","GEFORCE","GeForce 930M","Memory: Unknown"
"GeForce 930MX","GPU","GEFORCE","GeForce 930MX","Memory: Unknown"
"GeForce 9400","GPU","GEFORCE","GeForce 9400","Memory: Unknown"
"GeForce 9400 GT","GPU","GEFORCE","GeForce 9400 GT","Memory: Unknown"
"GeForce 9400M","GPU","GEFORCE","GeForce 9400M","Memory: Unknown"
"GeForce 9400M G","GPU","GEFORCE","GeForce 9400M G","Memory: Unknown"
"GeForce 940A","GPU","GEFORCE","GeForce 940A","Memory: Unknown"
"GeForce 940M","GPU","GEFORCE","GeForce 940M","Memory: Unknown"
"GeForce 940MX","GPU","GEFORCE","GeForce 940MX","Memory: Unknown"
"GeForce 9450","GPU","GEFORCE","GeForce 9450","Memory: Unknown"
"GeForce 945A","GPU","GEFORCE","GeForce 945A","Memory: Unknown"
"GeForce 945M","GPU","GEFORCE","GeForce 945M","Memory: Unknown"
"GeForce 9500 GS","GPU","GEFORCE","GeForce 9500 GS","Memory: Unknown"
"GeForce 9500 GT","GPU","GEFORCE","GeForce 9500 GT","Memory: Unknown"
"GeForce 9500M","GPU","GEFORCE","GeForce 9500M","Memory: Unknown"
"GeForce 9500M G","GPU","GEFORCE","GeForce 9500M G","Memory: Unknown"
"GeForce 9500M GS","GPU","GEFORCE","GeForce 9500M GS","Memory: Unknown"
"GeForce 9600 GS","GPU","GEFORCE","GeForce 9600 GS","Memory: Unknown"
"GeForce 9600 GSO","GPU","GEFORCE","GeForce 9600 GSO","Memory: Unknown"
"GeForce 9600 GSO 512","GPU","GEFORCE","GeForce 9600 GSO 512","Memory: Unknown"
"GeForce 9600 GT","GPU","GEFORCE","GeForce 9600 GT","Memory: Unknown"
"GeForce 9600M GS","GPU","GEFORCE","GeForce 9600M GS","Memory: Unknown"
"GeForce 9600M GT","GPU","GEFORCE","GeForce 9600M GT","Memory: Unknown"
