"name","type","brand","model","specs"
"MSI Z370-A Pro","Motherboard","MSI","Z370-A Pro","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte X570I Aorus Pro Wifi","Motherboard","Gigabyte","X570I Aorus Pro Wifi","Socket: AM4, Chipset: AMD X570"
"Gigabyte GA-Z170-HD3P","Motherboard","Gigabyte","GA-Z170-HD3P","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte GA-Gaming B8","Motherboard","Gigabyte","GA-Gaming B8","Socket: LGA 1151, Chipset: Intel B250"
"Gigabyte GA-H170-Gaming 3 Rev. 1.1","Motherboard","Gigabyte","GA-H170-Gaming 3 Rev. 1.1","Socket: LGA 1151, Chipset: Intel H170"
"Gigabyte H310M S2","Motherboard","Gigabyte","H310M S2","Socket: LGA 1151, Chipset: Intel H310"
"Asrock Z370 Extreme4","Motherboard","Asrock","Z370 Extreme4","Socket: LGA 1151, Chipset: Intel Z370"
"Asrock Fatal1ty B250 Gaming K4","Motherboard","Asrock","Fatal1ty B250 Gaming K4","Socket: LGA 1151, Chipset: Intel B250"
"Asus ROG Strix Z270F Gaming","Motherboard","Asus","ROG Strix Z270F Gaming","Socket: LGA 1151, Chipset: Intel Z270"
"Asus ROG Strix Z270E Gaming","Motherboard","Asus","ROG Strix Z270E Gaming","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock B450 Pro4","Motherboard","Asrock","B450 Pro4","Socket: AM4, Chipset: AMD B450"
"Gigabyte GA-AB350M-DS3H","Motherboard","Gigabyte","GA-AB350M-DS3H","Socket: AM4, Chipset: AMD B350"
"Asrock B450M-HDV","Motherboard","Asrock","B450M-HDV","Socket: AM4, Chipset: AMD B450"
"MSI MPG X570 Gaming Plus","Motherboard","MSI","MPG X570 Gaming Plus","Socket: AM4, Chipset: AMD X570"
"Gigabyte GA-X58A-UD3R Rev. 2.0","Motherboard","Gigabyte","GA-X58A-UD3R Rev. 2.0","Socket: LGA 1366, Chipset: Intel X58"
"Gigabyte GA-Z270-HD3","Motherboard","Gigabyte","GA-Z270-HD3","Socket: LGA 1151, Chipset: Intel Z270"
"Gigabyte GA-AB350N-Gaming WIFI","Motherboard","Gigabyte","GA-AB350N-Gaming WIFI","Socket: AM4, Chipset: AMD B350"
"Asrock AB350M Pro4","Motherboard","Asrock","AB350M Pro4","Socket: AM4, Chipset: AMD B350"
"Asrock AB350 Pro4","Motherboard","Asrock","AB350 Pro4","Socket: AM4, Chipset: AMD B350"
"Asus Prime Z270-P","Motherboard","Asus","Prime Z270-P","Socket: LGA 1151, Chipset: Intel Z270"
"Gigabyte GA-B250M-HD3","Motherboard","Gigabyte","GA-B250M-HD3","Socket: LGA 1151, Chipset: Intel B250"
"Asrock Z390 Phantom Gaming 4","Motherboard","Asrock","Z390 Phantom Gaming 4","Socket: LGA 1151, Chipset: Intel Z390"
"Gigabyte GA-970A-DS3P Rev. 2.0","Motherboard","Gigabyte","GA-970A-DS3P Rev. 2.0","Socket: AM3+, Chipset: AMD 970"
"Biostar H110MHC","Motherboard","Biostar","H110MHC","Socket: LGA 1151, Chipset: Intel H110"
"Gigabyte GA-AB350-Gaming 3","Motherboard","Gigabyte","GA-AB350-Gaming 3","Socket: AM4, Chipset: AMD B350"
"Asus ROG Strix B250H Gaming","Motherboard","Asus","ROG Strix B250H Gaming","Socket: LGA 1151, Chipset: Intel B250"
"Asus ROG Rampage IV Extreme","Motherboard","Asus","ROG Rampage IV Extreme","Socket: LGA 2011, Chipset: Intel X79"
"Gigabyte GA-A320M-HD2","Motherboard","Gigabyte","GA-A320M-HD2","Socket: AM4, Chipset: AMD A320"
"Gigabyte GA-B250-HD3","Motherboard","Gigabyte","GA-B250-HD3","Socket: LGA 1151, Chipset: Intel B250"
"Asrock H110M-HDS","Motherboard","Asrock","H110M-HDS","Socket: LGA 1151, Chipset: Intel H110"
"Biostar A320MH","Motherboard","Biostar","A320MH","Socket: AM4, Chipset: AMD A320"
"MSI B150M Night Elf","Motherboard","MSI","B150M Night Elf","Socket: LGA 1151, Chipset: Intel B150"
"Gigabyte GA-B150M-DS3H","Motherboard","Gigabyte","GA-B150M-DS3H","Socket: LGA 1151, Chipset: Intel B150"
"Asus ROG Strix X570-F Gaming","Motherboard","Asus","ROG Strix X570-F Gaming","Socket: AM4, Chipset: AMD X570"
"MSI MPG X570 Gaming Pro Carbon Wifi","Motherboard","MSI","MPG X570 Gaming Pro Carbon Wifi","Socket: AM4, Chipset: AMD X570"
"Gigabyte Z370 Aorus Gaming 3","Motherboard","Gigabyte","Z370 Aorus Gaming 3","Socket: LGA 1151, Chipset: Intel Z370"
"MSI H110M PRO-VD","Motherboard","MSI","H110M PRO-VD","Socket: LGA 1151, Chipset: Intel H110"
"MSI Z270-A Pro","Motherboard","MSI","Z270-A Pro","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock Fatal1ty 990FX Killer","Motherboard","Asrock","Fatal1ty 990FX Killer","Socket: AM3+, Chipset: AMD 990FX"
